,Team,AB,R,H,RBI,BB,SO,PA,BA,OBP,SLG,OPS,Pit,Str,WPA,aLI,WPA+,WPA-,cWPA,acLI,RE24,PO,A,Details,Date
['Erick AybarSS'],Los Angeles Angels of Anaheim,3,0,0,0,1,0,4,.270,.309,.380,.689,23,14,-0.024,0.51,0.019,-0.042%,-0.02%,0.58,-0.3,1,2,,8/7/2014
['Mike TroutCF'],Los Angeles Angels of Anaheim,3,0,0,0,1,1,4,.300,.389,.576,.965,25,13,-0.056,0.61,0.001,-0.058%,-0.04%,0.69,-0.2,1,0,,8/7/2014
['Albert PujolsDH'],Los Angeles Angels of Anaheim,4,0,1,0,0,0,4,.275,.325,.475,.799,14,9,0.001,0.40,0.028,-0.027%,0.00%,0.45,-0.6,,,"2B,GDP",8/7/2014
['Josh HamiltonLF'],Los Angeles Angels of Anaheim,4,0,0,0,0,2,4,.274,.343,.429,.771,21,11,-0.073,0.68,0.000,-0.073%,-0.05%,0.77,-1.0,0,0,,8/7/2014
['Howie Kendrick2B'],Los Angeles Angels of Anaheim,3,0,0,0,0,0,3,.279,.335,.374,.709,9,6,-0.054,0.74,0.000,-0.054%,-0.04%,0.84,-0.6,2,1,,8/7/2014
['David Freese3B'],Los Angeles Angels of Anaheim,3,0,1,0,0,1,3,.253,.320,.356,.676,13,8,0.023,0.47,0.042,-0.019%,0.02%,0.54,0.2,0,2,2B,8/7/2014
['Chris IannettaC'],Los Angeles Angels of Anaheim,3,0,0,0,0,0,3,.263,.367,.411,.778,12,7,-0.060,0.81,0.000,-0.060%,-0.04%,0.92,-0.6,11,0,,8/7/2014
['C.J. Cron1B'],Los Angeles Angels of Anaheim,2,0,0,0,0,1,2,.270,.299,.469,.768,7,5,-0.047,0.92,0.000,-0.047%,-0.03%,1.04,-0.5,8,1,,8/7/2014
['Efren NavarroPH-1B'],Los Angeles Angels of Anaheim,1,0,0,0,0,0,1,.284,.344,.420,.764,3,2,-0.003,0.13,0.000,-0.003%,-0.00%,0.15,-0.2,0,0,,8/7/2014
['Collin CowgillRF'],Los Angeles Angels of Anaheim,1,0,0,0,0,0,2,.276,.358,.403,.761,5,3,-0.004,0.51,0.012,-0.016%,-0.00%,0.57,-0.1,2,1,HBP,8/7/2014
['Kole CalhounPH-RF'],Los Angeles Angels of Anaheim,1,0,0,0,0,0,1,.279,.337,.463,.801,4,3,-0.002,0.06,0.000,-0.002%,-0.00%,0.07,-0.1,1,0,,8/7/2014
[''],Los Angeles Angels of Anaheim,,,,,,,,,,,,,,,,,,,,,,,,8/7/2014
['C.J. WilsonP'],Los Angeles Angels of Anaheim,,,,,,,,,,,,,,,,,,,,,1,2,,8/7/2014
['Cory RasmusP'],Los Angeles Angels of Anaheim,,,,,,,,,,,,,,,,,,,,,0,0,,8/7/2014
['Cam BedrosianP'],Los Angeles Angels of Anaheim,,,,,,,,,,,,,,,,,,,,,0,0,,8/7/2014
Team Totals,Los Angeles Angels of Anaheim,28,0,2,0,2,5,31,.071,.161,.143,.304,136,81,-0.299,0.58,0.102,-0.401%,-0.20%,0.66,-4.0,27,9,,8/7/2014
['Kole CalhounRF'],Los Angeles Angels of Anaheim,3,1,0,1,1,1,4,.278,.331,.454,.785,20,11,0.031,0.69,0.058,-0.026%,0.03%,1.11,0.0,2,0,,8/31/2014
['Mike TroutCF'],Los Angeles Angels of Anaheim,4,1,2,3,0,1,4,.290,.374,.560,.934,14,11,0.048,0.50,0.067,-0.018%,0.05%,0.79,2.0,4,0,HR,8/31/2014
['Albert Pujols1B'],Los Angeles Angels of Anaheim,4,0,0,1,0,0,4,.276,.332,.469,.801,24,16,-0.005,0.25,0.009,-0.014%,-0.01%,0.40,-0.5,3,0,,8/31/2014
['Josh HamiltonLF'],Los Angeles Angels of Anaheim,4,1,1,0,0,0,4,.265,.333,.423,.756,10,9,0.032,0.24,0.038,-0.006%,0.03%,0.39,-0.3,6,0,,8/31/2014
['Howie Kendrick2B'],Los Angeles Angels of Anaheim,3,1,0,0,1,0,4,.278,.334,.365,.699,14,8,0.055,0.43,0.059,-0.004%,0.05%,0.69,0.2,0,0,,8/31/2014
['David FreeseDH'],Los Angeles Angels of Anaheim,4,0,0,0,0,1,4,.249,.313,.350,.662,17,11,-0.058,0.54,0.000,-0.058%,-0.06%,0.86,-1.0,,,,8/31/2014
['Erick AybarSS'],Los Angeles Angels of Anaheim,4,1,1,1,0,1,4,.286,.327,.388,.715,11,10,0.106,0.55,0.108,-0.002%,0.10%,0.88,0.6,3,0,,8/31/2014
['Chris IannettaC'],Los Angeles Angels of Anaheim,3,2,3,1,1,0,4,.265,.380,.431,.811,19,11,0.058,0.45,0.058,0.000%,0.06%,0.72,2.3,7,0,HR,8/31/2014
['Gordon Beckham3B'],Los Angeles Angels of Anaheim,3,1,1,1,1,0,4,.220,.265,.337,.601,18,11,0.080,0.60,0.081,-0.001%,0.08%,0.96,1.2,2,1,,8/31/2014
[''],Los Angeles Angels of Anaheim,,,,,,,,,,,,,,,,,,,,,,,,8/31/2014
['Matt ShoemakerP'],Los Angeles Angels of Anaheim,,,,,,,,,,,,,,,,,,,,,0,0,,8/31/2014
['Mike MorinP'],Los Angeles Angels of Anaheim,,,,,,,,,,,,,,,,,,,,,0,1,,8/31/2014
['Yoslán HerreraP'],Los Angeles Angels of Anaheim,,,,,,,,,,,,,,,,,,,,,0,2,,8/31/2014
Team Totals,Los Angeles Angels of Anaheim,32,8,8,8,4,4,36,.250,.333,.438,.771,147,98,0.347,0.47,0.478,-0.129%,0.33%,0.76,4.5,27,4,,8/31/2014
['Kole CalhounRF'],Los Angeles Angels of Anaheim,5,0,2,0,0,0,5,.400,.400,.400,.800,19,11,0.015,1.45,0.110,-0.095,0.14%,22.74,-0.0,2,,,10/2/2014
['Mike TroutCF'],Los Angeles Angels of Anaheim,4,0,0,0,1,0,5,.000,.200,.000,.200,22,12,-0.140,1.85,0.017,-0.156,-1.23%,29.01,-0.7,6,,,10/2/2014
['Albert Pujols1B'],Los Angeles Angels of Anaheim,4,0,0,0,1,0,5,.000,.200,.000,.200,20,11,-0.145,1.79,0.029,-0.174,-1.26%,28.04,-0.7,9,1,,10/2/2014
['Howie Kendrick2B'],Los Angeles Angels of Anaheim,5,0,0,0,0,3,5,.000,.000,.000,.000,25,17,-0.242,1.92,0.000,-0.242,-2.09%,30.17,-1.3,,1,,10/2/2014
['David Freese3B'],Los Angeles Angels of Anaheim,2,1,1,1,1,0,3,.500,.667,2.000,2.667,10,4,0.210,1.17,0.226,-0.016,1.98%,18.34,1.2,2,,HR,10/2/2014
['Gordon BeckhamPR-3B'],Los Angeles Angels of Anaheim,1,0,0,0,0,1,2,.000,.500,.000,.500,7,4,-0.006,2.75,0.075,-0.081,-0.17%,43.12,0.2,,,HBP,10/2/2014
['Erick AybarSS'],Los Angeles Angels of Anaheim,3,0,0,0,0,1,5,.000,.000,.000,.000,15,10,-0.126,1.93,0.000,-0.126,-1.18%,30.33,-0.8,2,5,2·SH,10/2/2014
['Josh HamiltonLF'],Los Angeles Angels of Anaheim,5,0,0,0,0,1,5,.000,.000,.000,.000,14,10,-0.225,1.79,0.000,-0.225,-2.05%,28.07,-1.1,3,,,10/2/2014
['C.J. CronDH'],Los Angeles Angels of Anaheim,3,0,0,0,1,0,4,.000,.250,.000,.250,14,9,-0.101,1.95,0.003,-0.104,-0.89%,30.62,-0.5,,,,10/2/2014
['Chris IannettaC'],Los Angeles Angels of Anaheim,3,1,1,1,1,1,4,.333,.500,1.333,1.833,15,8,0.111,2.04,0.248,-0.137,1.15%,31.99,0.9,9,,HR,10/2/2014
[''],Los Angeles Angels of Anaheim,,,,,,,,,,,,,,,,,,,,,,,,10/2/2014
['Jered WeaverP'],Los Angeles Angels of Anaheim,,,,,,,,,,,,,,,,,,,,,,1,,10/2/2014
['Joe SmithP'],Los Angeles Angels of Anaheim,,,,,,,,,,,,,,,,,,,,,,,,10/2/2014
['Huston StreetP'],Los Angeles Angels of Anaheim,,,,,,,,,,,,,,,,,,,,,,,,10/2/2014
['Kevin JepsenP'],Los Angeles Angels of Anaheim,,,,,,,,,,,,,,,,,,,,,,,,10/2/2014
['Fernando SalasP'],Los Angeles Angels of Anaheim,,,,,,,,,,,,,,,,,,,,,,,,10/2/2014
Team Totals,Los Angeles Angels of Anaheim,35,2,4,2,5,7,43,.114,.244,.286,.530,161,96,-0.649,1.83,0.708,-1.356,-5.60%,28.76,-2.8,33,8,,10/2/2014
['Joc PedersonCF'],Los Angeles Dodgers,4,1,1,1,0,3,4,.243,.385,.559,.943,17,14,0.043,0.81,0.108,-0.065%,0.04%,1.17,0.1,2,0,HR,5/23/2015
['Jimmy RollinsSS'],Los Angeles Dodgers,4,0,1,0,0,0,4,.194,.272,.329,.601,18,11,0.008,0.78,0.049,-0.042%,0.01%,1.13,0.0,1,5,2·SB,5/23/2015
['Howie Kendrick2B'],Los Angeles Dodgers,4,0,0,0,0,1,4,.294,.351,.450,.801,14,8,-0.057,0.62,0.000,-0.057%,-0.05%,0.90,-0.7,1,2,,5/23/2015
['Adrian Gonzalez1B'],Los Angeles Dodgers,3,1,1,0,0,1,3,.347,.424,.640,1.064,14,12,-0.028,0.61,0.011,-0.038%,-0.02%,0.89,-0.3,10,1,,5/23/2015
['Justin Turner3B'],Los Angeles Dodgers,3,0,1,1,0,0,3,.288,.374,.550,.924,10,6,0.072,0.91,0.123,-0.051%,0.06%,1.32,0.5,0,1,2B,5/23/2015
['Andre EthierRF'],Los Angeles Dodgers,3,0,1,0,0,1,3,.306,.402,.528,.929,20,12,-0.001,0.66,0.031,-0.032%,-0.00%,0.96,-0.1,1,0,,5/23/2015
['Scott Van SlykeLF'],Los Angeles Dodgers,3,0,1,0,0,1,3,.295,.345,.449,.794,17,11,0.029,0.67,0.047,-0.018%,0.03%,0.97,0.3,2,0,,5/23/2015
['A.J. EllisC'],Los Angeles Dodgers,3,0,0,0,0,0,3,.128,.209,.154,.363,13,9,-0.026,0.90,0.000,-0.026%,-0.02%,1.31,-0.4,9,0,,5/23/2015
['Mike BolsingerP'],Los Angeles Dodgers,3,0,0,0,0,2,3,.000,.000,.000,.000,11,9,-0.087,0.72,0.000,-0.087%,-0.08%,1.04,-1.0,1,2,,5/23/2015
['Kenley JansenP'],Los Angeles Dodgers,0,0,0,0,0,0,0,,,,,,,,,,,,,,0,0,,5/23/2015
Team Totals,Los Angeles Dodgers,30,2,6,2,0,9,30,.200,.200,.333,.533,134,92,-0.047,0.73,0.369,-0.416%,-0.04%,1.05,-1.5,27,11,,5/23/2015
['Joc PedersonCF'],Los Angeles Dodgers,4,0,1,0,0,2,4,.262,.385,.586,.972,18,12,0.000,0.58,0.036,-0.036%,0%,0.80,-0.1,2,0,,6/6/2015
['Chris HeiseyLF'],Los Angeles Dodgers,3,1,1,0,0,0,3,.190,.346,.238,.584,9,7,0.016,1.35,0.114,-0.098%,0.01%,1.87,-0.3,0,0,"2B,GDP",6/6/2015
['Yasiel PuigRF'],Los Angeles Dodgers,3,1,1,1,0,2,3,.283,.377,.478,.856,10,8,0.129,1.04,0.157,-0.028%,0.11%,1.44,0.8,1,0,2B,6/6/2015
['Justin Turner1B-3B'],Los Angeles Dodgers,3,0,1,1,0,0,3,.301,.377,.488,.865,12,8,0.025,0.78,0.060,-0.035%,0.02%,1.08,0.5,7,1,,6/6/2015
['Enrique Hernandez2B'],Los Angeles Dodgers,3,0,2,0,0,0,3,.295,.328,.459,.787,9,5,0.044,0.80,0.073,-0.029%,0.04%,1.10,-0.1,1,2,GDP,6/6/2015
['Jimmy RollinsSS'],Los Angeles Dodgers,3,0,0,0,0,1,3,.206,.272,.343,.615,13,9,-0.129,1.12,0.000,-0.129%,-0.11%,1.55,-1.1,2,4,GDP,6/6/2015
['Alberto Callaspo3B'],Los Angeles Dodgers,3,0,1,0,0,0,3,.213,.297,.252,.549,10,8,-0.029,0.53,0.008,-0.037%,-0.02%,0.74,0.1,0,1,,6/6/2015
['Kenley JansenP'],Los Angeles Dodgers,0,0,0,0,0,0,0,,,,,,,,,,,,,,0,0,,6/6/2015
['A.J. EllisC'],Los Angeles Dodgers,2,0,0,0,0,0,3,.138,.231,.172,.403,8,5,-0.059,0.87,0.000,-0.059%,-0.05%,1.21,-0.6,13,0,SH,6/6/2015
['Clayton KershawP'],Los Angeles Dodgers,2,0,0,0,0,1,2,.172,.226,.241,.467,9,7,-0.040,0.83,0.000,-0.040%,-0.03%,1.15,-0.3,1,1,,6/6/2015
['Adrian GonzalezPH-1B'],Los Angeles Dodgers,1,0,0,0,0,0,1,.337,.417,.608,1.025,1,1,-0.008,0.30,0.000,-0.008%,-0.01%,0.42,-0.3,0,0,,6/6/2015
Team Totals,Los Angeles Dodgers,27,2,7,2,0,6,28,.259,.259,.333,.593,99,70,-0.051,0.85,0.448,-0.499%,-0.04%,1.18,-1.5,27,9,,6/6/2015
['Yasiel PuigRF'],Los Angeles Dodgers,5,0,0,0,0,1,5,.308,.382,.495,.877,20,14,-0.082,0.67,0.000,-0.082%,-0.09%,1.24,-1.2,3,0,,6/19/2015
['Joc PedersonCF'],Los Angeles Dodgers,4,1,1,0,0,0,4,.249,.386,.529,.915,12,8,0.009,0.47,0.040,-0.032%,0.01%,0.88,0.0,2,0,2B,6/19/2015
['Justin Turner3B'],Los Angeles Dodgers,3,2,3,2,0,0,4,.329,.396,.546,.943,18,12,0.206,0.76,0.206,0.000%,0.23%,1.41,2.7,0,0,"HR,2·2B,HBP",6/19/2015
['Adrian Gonzalez1B'],Los Angeles Dodgers,4,0,1,1,0,1,4,.294,.371,.516,.888,14,7,0.012,1.10,0.099,-0.086%,0.01%,2.05,0.1,6,2,,6/19/2015
['Howie Kendrick2B'],Los Angeles Dodgers,4,1,1,0,0,0,4,.282,.336,.415,.751,11,10,-0.074,1.11,0.038,-0.112%,-0.08%,2.07,-0.6,1,1,GDP,6/19/2015
['Andre EthierLF'],Los Angeles Dodgers,2,0,1,0,0,0,2,.280,.360,.497,.857,7,5,0.034,1.39,0.050,-0.016%,0.04%,2.58,0.2,0,0,,6/19/2015
['Scott Van SlykePH-LF'],Los Angeles Dodgers,1,1,0,0,1,0,2,.272,.324,.446,.769,8,3,-0.045,0.98,0.004,-0.049%,-0.05%,1.83,-0.1,1,0,,6/19/2015
['Yasmani GrandalC'],Los Angeles Dodgers,3,0,1,1,1,1,4,.273,.389,.466,.854,14,7,0.055,0.96,0.105,-0.051%,0.06%,1.80,0.7,11,0,,6/19/2015
['Jimmy RollinsSS'],Los Angeles Dodgers,4,0,0,0,0,0,4,.197,.258,.326,.584,12,7,-0.104,0.81,0.000,-0.104%,-0.12%,1.50,-1.3,2,2,GDP,6/19/2015
['Mike BolsingerP'],Los Angeles Dodgers,2,0,0,0,0,1,2,.000,.000,.000,.000,4,4,-0.052,1.03,0.000,-0.052%,-0.06%,1.93,-0.4,1,0,,6/19/2015
['Danny CoulombeP'],Los Angeles Dodgers,0,0,0,0,0,0,0,,,,,,,,,,,,,,0,0,,6/19/2015
['Josh RavinP'],Los Angeles Dodgers,0,0,0,0,0,0,0,,,,,,,,,,,,,,0,0,,6/19/2015
['Alex GuerreroPH'],Los Angeles Dodgers,1,0,0,0,0,0,1,.285,.313,.602,.915,2,1,-0.001,0.05,0.000,-0.001%,-0.00%,0.09,-0.1,,,,6/19/2015
['Juan NicasioP'],Los Angeles Dodgers,0,0,0,0,0,0,0,.000,.000,.000,.000,,,,,,,,,,0,1,,6/19/2015
['Alberto CallaspoPH'],Los Angeles Dodgers,1,0,1,1,0,0,1,.231,.320,.286,.605,2,2,0.008,0.20,0.008,0.000%,0.01%,0.37,1.0,,,,6/19/2015
Team Totals,Los Angeles Dodgers,34,5,9,5,2,4,37,.265,.324,.441,.766,124,80,-0.034,0.84,0.550,-0.585%,-0.04%,1.57,1.0,27,6,,6/19/2015
['Yangervis Solarte3B'],San Diego Padres,5,0,2,0,0,1,5,.269,.325,.425,.749,19,13,-0.006,0.58,0.040,-0.046%,-0.00%,0.25,-0.7,1,2,,8/23/2015
['Cory Spangenberg2B'],San Diego Padres,4,0,1,0,0,1,5,.260,.315,.367,.682,19,11,-0.068,0.61,0.004,-0.072%,-0.02%,0.26,-0.1,1,4,"2B,HBP",8/23/2015
['Matt KempRF'],San Diego Padres,5,0,1,2,0,1,5,.267,.314,.423,.737,31,21,-0.057,0.40,0.002,-0.059%,-0.01%,0.17,0.5,1,0,,8/23/2015
['Justin UptonLF'],San Diego Padres,5,0,2,0,0,1,5,.258,.344,.448,.792,16,12,0.050,0.45,0.070,-0.020%,0.01%,0.19,-0.2,0,0,2B,8/23/2015
['Yonder Alonso1B'],San Diego Padres,5,1,1,0,0,0,5,.271,.352,.371,.723,16,10,-0.054,0.66,0.026,-0.080%,-0.01%,0.28,-1.2,13,0,,8/23/2015
['B.J. UptonCF'],San Diego Padres,3,0,0,0,0,0,3,.242,.301,.417,.717,9,6,-0.063,0.85,0.000,-0.063%,-0.02%,0.36,-0.8,3,0,,8/23/2015
['Travis JankowskiPH-CF'],San Diego Padres,1,0,1,0,0,0,1,.556,.556,.556,1.111,2,1,0.001,0.01,0.001,0.000%,0%,0.00,0.1,0,0,,8/23/2015
['Austin HedgesC'],San Diego Padres,3,0,0,0,1,0,4,.182,.229,.273,.502,22,12,-0.019,0.48,0.010,-0.030%,-0.01%,0.20,-0.5,8,0,,8/23/2015
['Clint BarmesSS'],San Diego Padres,2,0,1,1,0,0,2,.253,.298,.382,.681,6,3,0.064,0.77,0.071,-0.006%,0.02%,0.33,0.9,0,2,,8/23/2015
['Odrisamer DespaigneP'],San Diego Padres,0,0,0,0,0,0,0,.069,.100,.103,.203,,,,,,,,,,0,1,,8/23/2015
['Alexi AmaristaPH'],San Diego Padres,1,0,0,0,0,1,1,.211,.265,.308,.573,5,4,-0.003,0.10,0.000,-0.003%,-0.00%,0.04,-0.2,,,,8/23/2015
['Marc RzepczynskiP'],San Diego Padres,0,0,0,0,0,0,0,,,,,,,,,,,,,,0,0,,8/23/2015
['Craig KimbrelP'],San Diego Padres,0,0,0,0,0,0,0,,,,,,,,,,,,,,0,0,,8/23/2015
['Kevin QuackenbushP'],San Diego Padres,0,0,0,0,0,0,0,,,,,,,,,,,,,,0,0,,8/23/2015
['Brett WallacePH'],San Diego Padres,1,1,1,0,0,0,1,.304,.385,.565,.950,5,3,0.000,0.00,0.000,0.000%,0%,0.00,0.6,,,2B,8/23/2015
['Colin ReaP'],San Diego Padres,1,0,0,0,0,0,1,.250,.400,.250,.650,1,1,-0.040,1.59,0.000,-0.040%,-0.01%,0.67,-0.4,0,1,,8/23/2015
['Jedd GyorkoSS'],San Diego Padres,2,1,1,0,1,1,3,.237,.298,.366,.664,19,10,0.041,0.51,0.042,-0.001%,0.01%,0.22,1.1,0,2,,8/23/2015
Team Totals,San Diego Padres,38,3,11,3,2,6,41,.289,.341,.368,.710,170,107,-0.154,0.53,0.266,-0.420%,-0.04%,0.23,-1.0,27,12,,8/23/2015
['Nori AokiLF'],San Francisco Giants,4,0,0,0,0,1,4,.292,.358,.389,.747,14,10,-0.098,1.00,0.000,-0.098%,-0.10%,1.72,-1.2,0,0,,8/29/2015
['Matt Duffy3B'],San Francisco Giants,4,0,1,0,0,0,4,.305,.344,.450,.795,18,11,-0.030,0.61,0.024,-0.055%,-0.03%,1.04,-0.6,0,3,GDP,8/29/2015
['Brandon Belt1B'],San Francisco Giants,3,0,1,0,1,1,4,.277,.355,.481,.837,17,9,0.039,0.75,0.079,-0.040%,0.04%,1.29,0.2,10,0,CS,8/29/2015
['Marlon ByrdRF'],San Francisco Giants,4,0,0,0,0,2,4,.235,.286,.455,.741,18,16,-0.090,1.00,0.000,-0.090%,-0.09%,1.72,-1.0,2,0,,8/29/2015
['Gregor BlancoCF'],San Francisco Giants,4,0,2,0,0,0,4,.297,.380,.413,.793,16,13,-0.045,0.93,0.030,-0.075%,-0.05%,1.60,-0.2,2,0,,8/29/2015
['Kelby Tomlinson2B'],San Francisco Giants,2,0,0,0,2,0,4,.351,.422,.509,.931,14,5,-0.017,0.72,0.033,-0.050%,-0.02%,1.24,0.0,4,4,,8/29/2015
['Andrew SusacC'],San Francisco Giants,4,0,0,0,0,1,4,.227,.308,.383,.691,14,10,-0.098,0.71,0.000,-0.098%,-0.10%,1.23,-1.6,8,0,GDP,8/29/2015
['Ehire AdrianzaSS'],San Francisco Giants,3,0,1,0,0,0,3,.187,.282,.253,.536,11,7,-0.009,0.37,0.014,-0.023%,-0.01%,0.64,-0.1,1,4,2B,8/29/2015
['Ryan VogelsongP'],San Francisco Giants,1,0,0,0,0,1,1,.118,.143,.147,.290,3,3,-0.025,0.99,0.000,-0.025%,-0.03%,1.70,-0.2,0,1,,8/29/2015
['George KontosP'],San Francisco Giants,0,0,0,0,0,0,0,.000,.000,.000,.000,,,,,,,,,,0,0,,8/29/2015
['Justin MaxwellPH'],San Francisco Giants,1,0,1,0,0,0,1,.210,.276,.343,.618,1,1,0.015,0.74,0.015,0.000%,0.02%,1.27,0.2,,,,8/29/2015
['Yusmeiro PetitP'],San Francisco Giants,0,0,0,0,0,0,0,.000,.000,.000,.000,,,,,,,,,,0,1,,8/29/2015
['Juan PerezPH'],San Francisco Giants,1,0,1,0,0,0,1,.412,.444,.471,.915,3,2,0.026,0.54,0.026,0.000%,0.03%,0.93,0.4,,,,8/29/2015
['Mike BroadwayP'],San Francisco Giants,0,0,0,0,0,0,0,,,,,,,,,,,,,,0,0,,8/29/2015
Team Totals,San Francisco Giants,31,0,7,0,3,6,34,.226,.294,.258,.552,129,87,-0.332,0.77,0.221,-0.554%,-0.34%,1.33,-4.1,27,13,,8/29/2015
['Charlie BlackmonCF'],Colorado Rockies,5,0,1,0,0,2,5,.305,.368,.481,.849,20,15,-0.035,0.73,0.038,-0.073%,-0.01%,0.17,-1.0,1,0,,7/18/2016
['DJ LeMahieu2B'],Colorado Rockies,3,1,1,0,1,0,4,.330,.393,.487,.880,17,10,-0.038,0.86,0.062,-0.100%,-0.01%,0.20,-0.4,4,3,2B,7/18/2016
['Nolan Arenado3B'],Colorado Rockies,4,0,1,0,0,0,4,.289,.362,.560,.922,9,7,-0.074,0.83,0.025,-0.099%,-0.01%,0.19,-0.9,1,4,"SB,GDP",7/18/2016
['Carlos GonzalezRF'],Colorado Rockies,4,1,2,1,0,1,4,.318,.367,.548,.915,15,8,0.051,0.83,0.104,-0.054%,0.01%,0.20,0.5,1,0,2B,7/18/2016
['Trevor StorySS'],Colorado Rockies,3,2,2,2,1,1,4,.264,.336,.550,.886,18,8,0.183,0.98,0.195,-0.012%,0.03%,0.23,2.4,2,4,"HR,SB",7/18/2016
['Ryan RaburnLF'],Colorado Rockies,2,1,0,0,1,0,3,.238,.316,.464,.779,18,8,-0.001,1.22,0.061,-0.061%,0%,0.29,-0.2,2,0,,7/18/2016
['Jason MotteP'],Colorado Rockies,0,0,0,0,0,0,0,,,,,,,,,,,,,,0,0,,7/18/2016
['Daniel DescalsoPH'],Colorado Rockies,1,1,1,0,0,0,1,.342,.440,.487,.926,1,1,0.079,0.78,0.079,0.000%,0.01%,0.18,0.9,,,,7/18/2016
['Carlos EstevezP'],Colorado Rockies,0,0,0,0,0,0,0,,,,,,,,,,,,,,0,1,,7/18/2016
['Mark Reynolds1B'],Colorado Rockies,4,1,3,1,0,0,4,.281,.349,.444,.793,17,10,0.175,0.93,0.180,-0.006%,0.02%,0.22,1.7,7,1,,7/18/2016
['Nick HundleyC'],Colorado Rockies,2,0,0,1,1,0,4,.248,.348,.433,.780,18,10,-0.095,0.80,0.002,-0.097%,-0.01%,0.19,-1.3,9,0,"SF,GDP",7/18/2016
['Tyler AndersonP'],Colorado Rockies,3,0,0,0,0,0,3,.133,.133,.333,.467,10,8,-0.036,0.47,0.000,-0.036%,-0.01%,0.11,-0.6,0,0,,7/18/2016
['Adam OttavinoP'],Colorado Rockies,0,0,0,0,0,0,0,,,,,,,,,,,,,,0,0,,7/18/2016
['Brandon BarnesLF'],Colorado Rockies,1,0,1,1,0,0,1,.239,.271,.348,.619,3,3,0.040,0.54,0.040,0.000%,0.01%,0.13,1.2,0,0,,7/18/2016
Team Totals,Colorado Rockies,32,7,12,6,4,4,37,.375,.432,.531,.964,146,88,0.249,0.84,0.786,-0.538%,0.04%,0.20,2.4,27,13,,7/18/2016
['Jonathan VillarSS'],Milwaukee Brewers,4,0,0,0,0,3,4,.295,.379,.421,.800,23,17,-0.063,0.60,0.000,-0.063%,-0.00%,0.02,-1.0,2,5,,7/23/2016
['Scooter Gennett2B'],Milwaukee Brewers,4,0,1,0,0,0,4,.258,.314,.405,.719,16,12,0.031,0.52,0.044,-0.013%,0.00%,0.02,0.2,1,1,SB,7/23/2016
['Ryan BraunLF'],Milwaukee Brewers,4,2,2,0,0,0,4,.317,.374,.516,.890,19,11,-0.013,0.52,0.020,-0.033%,0%,0.02,0.1,2,0,SB,7/23/2016
['Jonathan LucroyC'],Milwaukee Brewers,2,2,1,2,2,0,4,.302,.362,.494,.855,26,12,0.195,0.69,0.202,-0.008%,0.00%,0.03,2.2,7,0,HR,7/23/2016
['Chris Carter1B'],Milwaukee Brewers,4,0,0,0,0,1,4,.218,.304,.485,.789,23,14,-0.074,0.74,0.000,-0.074%,-0.00%,0.03,-1.5,8,0,,7/23/2016
['Kirk NieuwenhuisCF'],Milwaukee Brewers,3,2,3,4,1,0,4,.207,.321,.380,.702,17,8,0.151,0.42,0.159,-0.008%,0.00%,0.01,3.9,2,0,"2·HR,CS",7/23/2016
['Hernan Perez3B'],Milwaukee Brewers,4,0,1,0,0,1,4,.284,.308,.432,.740,9,8,-0.048,0.50,0.029,-0.077%,-0.00%,0.02,-1.1,2,1,2B,7/23/2016
['Ramon FloresRF'],Milwaukee Brewers,2,0,0,0,0,0,3,.212,.292,.261,.554,12,6,-0.036,0.54,0.008,-0.044%,-0.00%,0.02,-0.3,3,0,HBP,7/23/2016
['Zach DaviesP'],Milwaukee Brewers,2,0,0,0,0,1,2,.063,.063,.063,.125,5,4,-0.021,0.41,0.000,-0.021%,0%,0.01,-0.3,0,0,,7/23/2016
['Will SmithP'],Milwaukee Brewers,0,0,0,0,0,0,0,,,,,,,,,,,,,,0,0,,7/23/2016
['Jake ElmorePH'],Milwaukee Brewers,0,0,0,0,0,0,1,.125,.333,.125,.458,1,1,0.002,0.71,0.002,0.000%,0%,0.03,-0.1,,,SH,7/23/2016
['Tyler ThornburgP'],Milwaukee Brewers,0,0,0,0,0,0,0,,,,,,,,,,,,,,0,0,,7/23/2016
['Carlos TorresP'],Milwaukee Brewers,0,0,0,0,0,0,0,,,,,,,,,,,,,,0,0,,7/23/2016
Team Totals,Milwaukee Brewers,29,6,8,6,3,6,34,.276,.364,.621,.984,151,93,0.124,0.56,0.464,-0.341%,0.00%,0.02,2.0,27,7,,7/23/2016
['Adam EatonRF'],Chicago White Sox,3,3,2,3,2,0,5,.277,.362,.406,.768,25,13,0.323,0.99,0.330,-0.007%,0.10%,0.51,3.6,1,0,HR,7/24/2016
['Tim AndersonSS'],Chicago White Sox,4,0,2,0,0,1,5,.280,.288,.441,.729,15,10,0.037,1.02,0.059,-0.022%,0.01%,0.52,-0.1,0,6,SH,7/24/2016
['Melky CabreraLF'],Chicago White Sox,5,0,1,1,0,1,5,.301,.346,.461,.807,13,10,0.188,1.12,0.304,-0.116%,0.06%,0.57,-0.9,2,0,GDP,7/24/2016
['José Abreu1B'],Chicago White Sox,3,0,2,1,1,0,4,.273,.331,.427,.758,14,7,0.088,0.44,0.096,-0.007%,0.03%,0.23,1.0,7,0,,7/24/2016
